,año,conglome,vivienda,hogar,codperso,ubigeo_x,desercion_escolar,sexo,edad,area_geografica,lengua_materna,tipo_de_colegio,programa,situacion_laboral,años_educacion_padre,años_educacion_madre,ubigeo_y,ingreso_familiar,tamaño_familiar,internet,tv,celular
0,2021,5009,98,11,3,10101,1,0,17,1,1,1,1,1,4,3,10101,1013.349609375,4,1,1,1
1,2021,5009,98,11,4,10101,1,1,7,1,1,1,1,0,4,3,10101,1013.349609375,4,1,1,1
2,2021,5019,85,11,3,10101,0,0,8,1,1,1,1,0,2,2,10101,670.2808159722222,3,0,1,1
3,2021,5019,114,11,4,10101,0,1,9,1,1,1,1,0,3,3,10101,1056.8165690104167,4,1,1,1
4,2021,5020,102,11,4,10101,0,0,11,1,1,1,1,0,1,1,10101,1556.1651475694443,6,1,1,1
5,2021,5020,102,11,5,10101,0,0,9,1,1,0,1,0,1,1,10101,1556.1651475694443,6,1,1,1
6,2021,5020,152,11,5,10101,0,1,5,1,1,1,0,0,2,1,10101,1535.3369791666667,10,1,1,1
7,2021,5020,152,11,8,10101,0,0,9,1,1,1,1,0,2,1,10101,1535.3369791666667,10,1,1,1
8,2021,5020,152,11,10,10101,0,1,6,1,1,1,1,0,2,1,10101,1535.3369791666667,10,1,1,1
9,2021,5027,6,11,3,10201,0,0,11,1,1,1,1,0,3,4,10201,697.899658203125,4,0,0,1
10,2021,5027,18,11,3,10201,0,0,12,1,1,1,1,0,2,1,10201,711.6337890625,4,1,0,1
11,2021,5027,18,11,4,10201,0,1,9,1,1,1,1,0,2,1,10201,711.6337890625,4,1,0,1
12,2021,5027,44,11,5,10201,0,0,11,1,1,1,1,0,2,1,10201,832.7947916666667,5,1,1,1
13,2021,5027,55,11,5,10201,0,0,16,1,1,1,1,1,1,1,10201,549.452734375,5,0,0,1
14,2021,5027,65,11,2,10201,0,0,10,1,1,1,1,0,3,1,10201,788.8409830729166,2,0,0,1
15,2021,5027,78,11,3,10201,0,0,15,1,1,0,0,1,2,1,10201,836.0951605902778,3,0,0,1
16,2021,5030,5,11,3,10201,1,1,14,1,1,1,1,0,4,4,10201,357.27171688988096,7,1,1,1
17,2021,5030,5,11,4,10201,1,0,13,1,1,1,1,0,4,4,10201,357.27171688988096,7,1,1,1
18,2021,5030,5,11,5,10201,1,0,9,1,1,1,1,0,4,4,10201,357.27171688988096,7,1,1,1
19,2021,5030,30,11,4,10201,1,0,8,1,1,1,1,0,3,3,10201,635.8594563802084,4,1,1,1
20,2021,5030,55,11,3,10201,1,0,11,1,1,1,1,0,1,1,10201,461.7721354166667,3,0,0,1
21,2021,5035,5,11,3,10206,1,0,8,1,1,1,1,0,1,2,10206,304.7406005859375,4,0,1,1
22,2021,5035,75,11,4,10206,1,1,10,1,1,1,1,0,1,1,10206,446.2452799479167,4,0,1,1
23,2021,5035,89,11,2,10206,1,0,10,1,1,1,1,0,2,2,10206,488.46044921875,3,0,1,1
24,2021,5035,89,11,3,10206,1,1,7,1,1,1,1,0,2,2,10206,488.46044921875,3,0,1,1
25,2021,5035,117,11,2,10206,1,0,15,1,1,1,1,0,2,3,10206,185.7803751627604,4,0,0,1
26,2021,5035,117,11,3,10206,1,1,13,1,1,1,1,0,2,3,10206,185.7803751627604,4,0,0,1
27,2021,5035,117,11,4,10206,1,1,11,1,1,1,1,0,2,3,10206,185.7803751627604,4,0,0,1
28,2021,5036,14,11,4,10206,0,1,10,1,1,1,1,0,2,1,10206,436.5626220703125,4,1,0,1
29,2021,5036,32,11,3,10206,0,1,13,1,1,1,1,0,1,1,10206,482.02381727430554,3,1,1,1
30,2021,5036,89,11,2,10206,0,0,9,1,1,1,1,0,2,1,10206,835.5511881510416,2,1,1,1
31,2021,5036,167,11,3,10206,0,1,14,1,1,1,0,1,3,2,10206,637.2814127604166,4,1,0,1
32,2021,5037,73,11,3,10701,0,0,12,1,1,0,0,0,3,3,10701,1554.580078125,3,1,1,1
33,2021,5037,95,11,3,10701,0,0,18,1,1,1,1,1,3,1,10701,831.48681640625,4,1,1,1
34,2021,5037,95,11,4,10701,0,0,11,1,1,1,1,0,3,1,10701,831.48681640625,4,1,1,1
35,2021,5038,40,11,3,10701,0,1,13,1,1,1,1,0,1,1,10701,636.9499240451389,3,0,0,1
36,2021,5039,22,11,3,10701,0,1,14,1,1,1,1,0,4,4,10701,1170.5670572916667,5,1,1,1
37,2021,5039,22,11,4,10701,0,1,10,1,1,1,1,0,4,4,10701,1170.5670572916667,5,1,1,1
38,2021,5039,22,11,5,10701,0,0,7,1,1,1,1,0,4,4,10701,1170.5670572916667,5,1,1,1
39,2021,5039,114,11,3,10701,0,1,5,1,1,1,0,0,4,4,10701,389.0826822916667,4,0,1,1
40,2021,5044,13,11,3,10701,0,0,12,1,1,1,1,0,1,1,10701,516.0101453993055,3,0,1,1
41,2021,5044,59,11,3,10701,1,1,14,1,1,1,1,0,3,2,10701,308.4059787326389,6,0,0,1
